,0
0,4866897927
1,4866896907
2,4866896718
3,4866896682
4,4866896196
5,4866896029
6,4866895910
7,4866895788
8,4866895716
9,4866894855
10,4866894442
11,4866894368
12,4866894044
13,4866894020
14,4866893710
15,4866893136
16,4866892680
17,4866892537
18,4866892532
19,4866892396
20,4866892201
21,4866892001
22,4866891633
23,4866891222
24,4866891145
25,4866891096
26,4866890955
27,4866890923
28,4866890679
29,4866890474
30,4866890445
31,4866890206
32,4866889877
33,4866889714
34,4866889380
35,4866889352
36,4866889337
37,4866888759
38,4866888632
39,4866888527
40,4866888352
41,4866888304
42,4866888280
43,4866888233
44,4866888176
45,4866888175
46,4866888169
47,4866888072
48,4866887952
49,4866887919
50,4866887621
51,4866887580
52,4866887579
53,4866887538
54,4866887466
55,4866887419
56,4866887396
57,4866887270
58,4866886940
59,4866886902
60,4866886884
61,4866886866
62,4866886816
63,4866886707
64,4866886680
65,4866886623
66,4866886362
67,4866886357
68,4866886356
69,4866886224
70,4866886174
71,4866886030
72,4866886012
73,4866886000
74,4866885822
75,4866885808
76,4866885684
77,4866885664
78,4866885522
79,4866885437
80,4866885402
81,4866885297
82,4866885243
83,4866884999
84,4866884899
85,4866884776
86,4866884768
87,4866884707
88,4866884656
89,4866884492
90,4866884396
91,4866884246
92,4866884178
93,4866884172
94,4866884090
95,4866884046
96,4866883928
97,4866883927
98,4866883824
99,4866883760
100,4866883760
101,4866883740
102,4866883736
103,4866883718
104,4866883691
105,4866883678
106,4866883624
107,4866883608
108,4866883545
109,4866883478
110,4866883468
111,4866883453
112,4866883441
113,4866883439
114,4866883345
115,4866883341
116,4866883286
117,4866883247
118,4866883203
119,4866883021
120,4866883009
121,4866882862
122,4866882845
123,4866882702
124,4866882673
125,4866882623
126,4866882483
127,4866882465
128,4866882454
129,4866882306
130,4866882165
131,4866882100
132,4866882023
133,4866882010
134,4866881998
135,4866881920
136,4866881883
137,4866881854
138,4866881748
139,4866881734
140,4866881694
141,4866881682
142,4866881507
143,4866881449
144,4866881404
145,4866881314
146,4866881311
147,4866881310
148,4866881249
149,4866881245
150,4866881210
151,4866881173
152,4866881154
153,4866881153
154,4866881133
155,4866881007
156,4866880953
157,4866880940
158,4866880865
159,4866880749
160,4866880637
161,4866880615
162,4866880587
163,4866880534
164,4866880371
165,4866880354
166,4866880331
167,4866880265
168,4866880201
169,4866880194
170,4866880146
171,4866880123
172,4866880120
173,4866880108
174,4866880099
175,4866880066
176,4866880013
177,4866879916
178,4866879914
179,4866879879
180,4866879822
181,4866879817
182,4866879761
183,4866879745
184,4866879743
185,4866879672
186,4866879670
187,4866879669
188,4866879579
189,4866879531
190,4866879498
191,4866879475
192,4866879457
193,4866879454
194,4866879381
195,4866879377
196,4866879363
197,4866879321
198,4866879296
199,4866879282
200,4866879282
201,4866879156
202,4866879152
203,4866879130
204,4866879118
205,4866879061
206,4866879023
207,4866879009
208,4866878994
209,4866878972
210,4866878965
211,4866878952
212,4866878855
213,4866878848
214,4866878844
215,4866878832
216,4866878830
217,4866878819
218,4866878767
219,4866878711
220,4866878626
221,4866878617
222,4866878597
223,4866878574
224,4866878572
225,4866878512
226,4866878494
227,4866878465
228,4866878442
229,4866878417
230,4866878388
231,4866878383
232,4866878359
233,4866878315
234,4866878301
235,4866878248
236,4866878235
237,4866878234
238,4866878231
239,4866878211
240,4866878163
241,4866878120
242,4866878102
243,4866878060
244,4866878058
245,4866878037
246,4866878032
247,4866878016
248,4866878010
249,4866877973
250,4866877920
251,4866877917
252,4866877916
253,4866877915
254,4866877867
255,4866877854
256,4866877827
257,4866877777
258,4866877742
259,4866877729
260,4866877728
261,4866877727
262,4866877718
263,4866877704
264,4866877700
265,4866877698
266,4866877696
267,4866877679
268,4866877653
269,4866877622
270,4866877617
271,4866877588
272,4866877587
273,4866877475
274,4866877474
275,4866877457
276,4866877456
277,4866877441
278,4866877425
279,4866877330
280,4866877299
281,4866877285
282,4866877284
283,4866877280
284,4866877254
285,4866877239
286,4866877234
287,4866877232
288,4866877209
289,4866877207
290,4866877191
291,4866877174
292,4866877172
293,4866877170
294,4866877155
295,4866877154
296,4866877138
297,4866877135
298,4866877130
299,4866877121
